genome_id,resistant_phenotype
"1773.32978","Resistant"
"1733.9926","Resistant"
"1773.42937","Resistant"
"1733.10781","Susceptible"
"1773.1644","Resistant"
"1773.33100","Susceptible"
"1733.9143","Resistant"
"1733.4063","Susceptible"
"1773.29209","Resistant"
"1733.3616","Susceptible"
"1773.19294","Susceptible"
"1773.2789","Resistant"
"1448570.3","Resistant"
"1773.43351","Susceptible"
"1733.8393","Susceptible"
"1354112.3","Resistant"
"1773.17680","Susceptible"
"1773.40281","Resistant"
"1733.3039","Resistant"
"1773.19932","Susceptible"
"1733.6435","Susceptible"
"1773.19965","Susceptible"
"1773.35803","Resistant"
"1773.36799","Susceptible"
"1773.1534","Resistant"
"1733.2989","Susceptible"
"1773.16157","Resistant"
"1773.15792","Susceptible"
"1733.4093","Susceptible"
"1773.39625","Susceptible"
"1773.15101","Resistant"
"1773.41219","Susceptible"
"1733.4764","Susceptible"
"1773.32591","Susceptible"
"1733.5851","Susceptible"
"1773.34702","Susceptible"
"1733.425","Resistant"
"1773.20360","Resistant"
"1773.26772","Resistant"
"1773.3184","Resistant"
"1773.41550","Resistant"
"1773.27494","Susceptible"
"1733.6320","Susceptible"
"1733.7010","Susceptible"
"1773.41143","Susceptible"
"1773.32278","Resistant"
"1773.38834","Resistant"
"1773.44739","Resistant"
"1773.29409","Resistant"
"1733.3858","Susceptible"
"1773.32403","Resistant"
"1773.30605","Susceptible"
"1733.3233","Susceptible"
"1733.1682","Susceptible"
"1733.10509","Susceptible"
"1773.2517","Resistant"
"1733.5979","Resistant"
"1773.14186","Resistant"
"1733.4859","Susceptible"
"1733.11197","Susceptible"
"1733.1727","Susceptible"
"1773.18699","Resistant"
"1773.42057","Susceptible"
"1733.8276","Susceptible"
"1773.1079","Susceptible"
"1773.40705","Resistant"
"1733.11192","Susceptible"
"1773.19203","Susceptible"
"1733.4073","Susceptible"
"1773.18783","Susceptible"
"1773.14368","Susceptible"
"1773.21934","Resistant"
"1733.1064","Susceptible"
"1773.4288","Susceptible"
"1773.40912","Resistant"
"1773.33723","Susceptible"
"1733.3479","Susceptible"
"1733.959","Resistant"
"1773.28005","Susceptible"
"1733.132","Susceptible"
"1733.8488","Susceptible"
"1773.5839","Resistant"
"1773.35378","Susceptible"
"1733.1208","Susceptible"
"1733.8837","Susceptible"
"1334059.3","Susceptible"
"1773.43392","Susceptible"
"1427229.3","Resistant"
"1773.20525","Susceptible"
"1773.8702","Susceptible"
"1402599.3","Susceptible"
"1773.18986","Susceptible"
"1773.13517","Susceptible"
"1773.40961","Resistant"
"1733.3835","Susceptible"
"1773.44777","Susceptible"
"1773.4459","Susceptible"
"1733.3458","Susceptible"
"1733.11246","Susceptible"
"1733.11054","Susceptible"
"1773.38274","Resistant"
"1773.19802","Susceptible"
"1773.14276","Susceptible"
"1733.2338","Susceptible"
"1773.42228","Susceptible"
"1733.7850","Susceptible"
"1773.3238","Susceptible"
"1773.1293","Resistant"
"1773.3819","Susceptible"
"1773.2684","Resistant"
"1733.6098","Resistant"
"1773.2526","Resistant"
"1733.7822","Resistant"
"1773.19344","Susceptible"
"1773.42434","Susceptible"
"1447441.3","Resistant"
"1733.3530","Susceptible"
"1773.41775","Resistant"
"1773.42885","Resistant"
"1733.1044","Resistant"
"1733.6604","Susceptible"
"1733.2555","Susceptible"
"1733.8629","Resistant"
"1773.35603","Resistant"
"1773.40023","Susceptible"
"1733.5545","Susceptible"
"1733.7991","Susceptible"
"1402587.3",
"1773.38759","Susceptible"
"1773.19117","Susceptible"
"1773.43040","Susceptible"
"1773.39235","Susceptible"
"1773.42531","Resistant"
"1773.37744","Resistant"
"1438836.3","Resistant"
"1773.3700","Susceptible"
